店舗名,電話番号,メールアドレス,都道府県,市区町村,番地,建物名,URL,SSL
今澤,050-5485-1734,info@kk-irc.com,東京都,新宿区新宿,3-32-10,T＆Tビル7F,http://www.kk-irc.com/,FALSE
しゃぶ叙,050-5484-6168,ygyfr772@ybb.ne.jp,東京都,新宿区歌舞伎町,2-26-10,,http://shabujo.com/,FALSE
牛の達人 private 西新宿店,050-5484-3013,,東京都,新宿区西新宿,7-16-12,新・YSビル2F,https://beefpro.jp/,TRUE
水炊き 季節料理 新宿なごみ,050-5484-9912,nagomi-shinjyuku@nifty.com,東京都,新宿区歌舞伎町,2-38-4,古屋ビルB1,https://gajv200.gorp.jp/,TRUE
おかん,050-5485-3887,,東京都,新宿区歌舞伎町,2-10-6,ピア新宿2F,https://www.ocan.jp/,TRUE
和食 かがり,050-5487-0453,,東京都,新宿区西新宿,2-2-1,京王プラザホテル2F,https://gab4210.gorp.jp/,TRUE
ホテルオークラレストラン新宿 中国料理 桃里,050-5484-4166,,東京都,新宿区西新宿,1-26-2,新宿野村ビル50F,http://www.okura-ep.co.jp/,FALSE
天ぷら新宿つな八 つのはず庵,050-5493-5065,,東京都,新宿区新宿,3-32-10,T&Tビル5F,https://g021936.gorp.jp/,TRUE
牛の達人‐private‐ 新宿本店,050-5485-2898,,東京都,新宿区歌舞伎町,2-45-6,千代田ビル1F,https://beefpro.jp/,TRUE
焼鳥 鐵（ヤキトリクロガネ）,050-5487-6492,,東京都,新宿区西新宿,7-10-10,山崎西新宿ビルB1,https://gfz9226.gorp.jp/,TRUE
いけす無門 新宿,050-5485-8054,,東京都,新宿区歌舞伎町,2-26-1,永和第一ビル1～2F,http://www.daibizen.co.jp/,FALSE
個室 和食肉割烹 八馬 別邸 新宿店,050-5488-1952,,東京都,新宿区歌舞伎町,1-12-3,MONビルB2,https://ge04003.gorp.jp/,TRUE
新宿 なだ万賓館,050-5486-3899,,東京都,新宿区西新宿,1-5-1,新宿西口駅前ビル8F,https://www.nadaman.co.jp/,TRUE
天ぷら 天秀,050-5486-7142,,東京都,新宿区西新宿,7-12-21,,https://www.ten-hide.com/,TRUE
焼鳥 みかど,050-5494-4062,,東京都,新宿区新宿,3-31-1,大伸第2ビル9F,https://geuj110.gorp.jp/,TRUE
リストランテ ベニーレベニーレ,050-5485-4621,,東京都,新宿区新宿,3-5-4,レインボービレッジ8F,https://ke8m300.gorp.jp/,TRUE
新宿 今井屋本店,050-5486-2278,shinjyuku-imaiya@diamond-dining.com,東京都,新宿区新宿,3-33-10,新宿モリエールビルB1,https://www.dd-holdings.jp/shops/imaiyahonten/shinjyuku#/,TRUE
個室 旬和食 基 〜ｍｏｔｏｓｈｉ〜代々木店,050-5492-0690,motoshi-yoyogi@outlook.jp,東京都,渋谷区代々木,1-53-4,,https://g312709.gorp.jp/,TRUE
